Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/28/2020,02/01/2020,10/24/2020,South Carolina,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,All Sexes,All Ages,376,"6,308",537,172,27,768,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,All Ages,211,"3,371",318,109,17,437,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,Under 1 year,0,23,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,0-17 years,0,44,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,5-14 years,0,,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,15-24 years,0,54,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,18-29 years,,83,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,25-34 years,,95,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,30-49 years,16,270,16,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,35-44 years,,137,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,45-54 years,14,201,18,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,50-64 years,37,583,58,21,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,55-64 years,29,456,47,16,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,65-74 years,36,710,66,19,,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,75-84 years,55,811,91,27,,122,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Male,85 years and over,66,870,86,32,,125,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,All Ages,165,"2,937",219,63,10,331,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,Under 1 year,0,23,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,0-17 years,0,36,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,1-4 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,15-24 years,,16,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,18-29 years,,27,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,25-34 years,0,31,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,30-49 years,,136,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,35-44 years,,67,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,45-54 years,,119,12,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,50-64 years,19,367,40,12,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,55-64 years,15,300,31,11,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,65-74 years,26,473,40,10,,59,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,75-84 years,36,654,52,17,,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Female,85 years and over,77,"1,244",77,23,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,All Ages,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,0-17 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,South Dakota,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,All Sexes,All Ages,"2,959","60,162","5,159","1,481",137,"6,773",
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,All Ages,"1,659","31,686","2,859",873,68,"3,713",
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,Under 1 year,,226,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,0-17 years,,415,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,1-4 years,,48,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,5-14 years,0,70,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,15-24 years,,547,10,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,18-29 years,,999,21,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,25-34 years,15,"1,126",24,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,30-49 years,96,"3,205",128,40,,188,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,35-44 years,44,"1,480",62,20,,88,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,45-54 years,90,"2,599",167,43,,220,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,50-64 years,316,"6,902",584,177,19,742,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,55-64 years,266,"5,425",471,150,14,601,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,65-74 years,424,"7,313",718,228,25,939,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,75-84 years,514,"7,580",841,268,13,"1,100",
10/28/2020,02/01/2020,10/24/2020,Tennessee,Male,85 years and over,303,"5,272",563,158,,713,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,All Ages,"1,300","28,476","2,300",608,69,"3,060",
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,Under 1 year,0,159,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,0-17 years,,273,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,1-4 years,,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,5-14 years,,36,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,15-24 years,,216,,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,18-29 years,,406,10,0,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,25-34 years,,533,11,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,30-49 years,54,"1,813",100,29,11,136,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,35-44 years,22,857,46,15,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,45-54 years,61,"1,596",119,30,,158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,50-64 years,214,"4,605",408,130,13,505,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,55-64 years,181,"3,663",336,112,11,416,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,65-74 years,305,"5,581",544,145,12,716,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,75-84 years,356,"6,973",647,168,19,853,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Female,85 years and over,363,"8,825",584,136,12,823,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,All Ages,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,0-17 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Tennessee,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,All Sexes,All Ages,"17,706","172,502","18,697","9,087",369,"27,672",
10/28/2020,02/01/2020,10/24/2020,Texas,Male,All Ages,"10,295","92,590","10,531","5,320",177,"15,677",
10/28/2020,02/01/2020,10/24/2020,Texas,Male,Under 1 year,,756,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Male,0-17 years,13,"1,465",24,,,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Male,1-4 years,,167,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Male,5-14 years,,245,10,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Male,15-24 years,25,"1,785",43,10,0,58,
10/28/2020,02/01/2020,10/24/2020,Texas,Male,18-29 years,79,"2,884",99,35,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Male,25-34 years,153,"2,922",145,72,,231,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Male,30-49 years,882,"8,596",672,398,16,"1,172",
10/28/2020,02/01/2020,10/24/2020,Texas,Male,35-44 years,372,"3,989",301,172,,507,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Male,45-54 years,"1,009","7,403",762,475,18,"1,314",
10/28/2020,02/01/2020,10/24/2020,Texas,Male,50-64 years,"2,518","19,774","2,279","1,267",49,"3,578",
10/28/2020,02/01/2020,10/24/2020,Texas,Male,55-64 years,"1,923","15,452","1,801",971,38,"2,790",
10/28/2020,02/01/2020,10/24/2020,Texas,Male,65-74 years,"2,656","21,052","2,758","1,460",35,"3,988",
10/28/2020,02/01/2020,10/24/2020,Texas,Male,75-84 years,"2,523","21,639","2,764","1,339",44,"3,989",
10/28/2020,02/01/2020,10/24/2020,Texas,Male,85 years and over,"1,624","17,180","1,935",819,27,"2,766",
10/28/2020,02/01/2020,10/24/2020,Texas,Female,All Ages,"7,411","79,908","8,166","3,767",192,"11,995",
10/28/2020,02/01/2020,10/24/2020,Texas,Female,Under 1 year,,584,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Female,0-17 years,11,"1,002",16,,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Female,1-4 years,,125,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Female,5-14 years,,174,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Female,15-24 years,21,593,18,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Female,18-29 years,43,"1,009",40,19,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Female,25-34 years,64,"1,186",56,26,,99,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Female,30-49 years,421,"4,532",423,206,24,661,
10/28/2020,02/01/2020,10/24/2020,Texas,Female,35-44 years,205,"2,123",208,96,14,330,
10/28/2020,02/01/2020,10/24/2020,Texas,Female,45-54 years,482,"4,303",494,255,22,743,
10/28/2020,02/01/2020,10/24/2020,Texas,Female,50-64 years,"1,358","12,144","1,492",743,48,"2,154",
10/28/2020,02/01/2020,10/24/2020,Texas,Female,55-64 years,"1,056","9,599","1,180",586,34,"1,683",
10/28/2020,02/01/2020,10/24/2020,Texas,Female,65-74 years,"1,691","15,146","1,842",904,43,"2,670",
10/28/2020,02/01/2020,10/24/2020,Texas,Female,75-84 years,"1,824","19,636","2,103",960,38,"3,002",
10/28/2020,02/01/2020,10/24/2020,Texas,Female,85 years and over,"2,063","26,439","2,250",932,31,"3,412",
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,50-64 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,55-64 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,75-84 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Texas,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,All Sexes,All Ages,582,"15,352",915,223,40,"1,314",
10/28/2020,02/01/2020,10/24/2020,Utah,Male,All Ages,358,"8,090",522,149,27,758,
10/28/2020,02/01/2020,10/24/2020,Utah,Male,Under 1 year,0,102,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,0-17 years,0,177,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,1-4 years,0,19,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Male,5-14 years,0,27,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,15-24 years,,177,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,18-29 years,,262,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,25-34 years,,274,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,30-49 years,24,801,25,,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,35-44 years,12,393,12,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,45-54 years,26,544,30,13,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,50-64 years,73,"1,348",93,38,10,138,
10/28/2020,02/01/2020,10/24/2020,Utah,Male,55-64 years,57,"1,052",72,29,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,65-74 years,86,"1,642",132,46,,175,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,75-84 years,101,"1,931",145,37,,215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Male,85 years and over,71,"1,929",118,19,,174,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,All Ages,224,"7,262",393,74,13,556,
10/28/2020,02/01/2020,10/24/2020,Utah,Female,Under 1 year,0,83,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,0-17 years,0,130,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,1-4 years,0,11,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Female,5-14 years,0,21,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Female,15-24 years,,72,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,18-29 years,,118,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,25-34 years,,154,,,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,30-49 years,13,472,19,,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,35-44 years,,235,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,45-54 years,12,326,16,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,50-64 years,29,900,60,10,,81,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,55-64 years,22,718,50,,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,65-74 years,50,"1,158",79,25,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,75-84 years,55,"1,864",112,19,,151,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Female,85 years and over,76,"2,620",116,17,,177,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,All Ages,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,0-17 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Utah,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Vermont,All Sexes,All Ages,62,"4,430",206,15,16,269,
10/28/2020,02/01/2020,10/24/2020,Vermont,Male,All Ages,36,"2,324",119,12,10,153,
10/28/2020,02/01/2020,10/24/2020,Vermont,Male,Under 1 year,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Vermont,Male,0-17 years,0,15,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Vermont,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Vermont,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Vermont,Male,15-24 years,0,21,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Vermont,Male,18-29 years,0,39,0,0,0,0,
